isco08_code,occupation_title,task_score,task_exposure,task_description
7533,"Sewing, embroidery and related workers",0.135,Very Low,"Sewing or gluing decorative trimmings to articles, such as hats, caps or millinery;"
7533,"Sewing, embroidery and related workers",0.135,Very Low,"Hand-sewing umbrella covers to frames, tacking cover to ribs along seams, sewing corners to tip of rib and sewing ties to outside of cover to hold umbrella when folded;"
7533,"Sewing, embroidery and related workers",0.12,Very Low,"Fabricating and assembling thick cloth, canvas and similar materials into sails, awning, tarpaulins and tents."
7534,Upholsterers and related workers,0.37,Low,"Discussing upholstery fabric, colour and style with customers and providing cost estimate for upholstering furniture or other items;"
7534,Upholsterers and related workers,0.24,Very Low,"Making upholstery patterns from sketches, customer descriptions or blueprints;"
7534,Upholsterers and related workers,0.1325,Very Low,"Laying out, measuring and cutting upholstery materials following patterns, templates, sketches, or design specifications;"
7534,Upholsterers and related workers,0.13,Very Low,"Installing, arranging and securing springs, padding and covering material to furniture frames;"
7534,Upholsterers and related workers,0.12,Very Low,Sewing upholstery materials by hand to seam cushions and joining sections of covering materials;
7534,Upholsterers and related workers,0.125,Very Low,"Sewing rips or tears in material, or creating tufting, using needle and thread;"
7534,Upholsterers and related workers,0.1475,Very Low,"Tacking, gluing or sewing ornamental trims, buckles, braids, buttons and other accessories to covers or frames on upholstered items;"
7534,Upholsterers and related workers,0.15,Very Low,"Laying out, cutting, fabricating and installing upholstery in aircrafts, motor vehicles, railway cars, boats and ships;"
7534,Upholsterers and related workers,0.0785,Very Low,Repairing raw hide covering of artificial limbs;
7534,Upholsterers and related workers,0.1425,Very Low,"Renovating antique furniture using a variety of tools including ripping chisels, magnetic hammers and long needles;"
7534,Upholsterers and related workers,0.3425,Low,Collaborating with interior designers to decorate rooms and coordinate furnishing fabrics;
7534,Upholsterers and related workers,0.145,Very Low,"Making quilts, cushions and mattresses."
7535,"Pelt dressers, tanners and fellmongers",0.15,Very Low,"Sorting and grading pelts, hides and skins according to colour, shading, size and density;"
7535,"Pelt dressers, tanners and fellmongers",0.0675,Very Low,"Scraping particles of flesh, fat or protective tissue from skins or pelts to clean and soften them;"
7535,"Pelt dressers, tanners and fellmongers",0.0725,Very Low,Removing hair from skin or hides soaked in lime water;
7535,"Pelt dressers, tanners and fellmongers",0.0975,Very Low,Preparing hides by curing them with salt;
7535,"Pelt dressers, tanners and fellmongers",0.0675,Very Low,"Removing long, coarse hair from pelts and trimming underlying hair to even length;"
7535,"Pelt dressers, tanners and fellmongers",0.1,Very Low,Tanning and dressing pelts to improve lustre and beauty or restore natural appearance of pelts;
7535,"Pelt dressers, tanners and fellmongers",0.125,Very Low,Preparing bark and myrobalan liquor for treating hides or skins;
7535,"Pelt dressers, tanners and fellmongers",0.1125,Very Low,Treating hides and skins in tanning solution to convert them into leather;
7535,"Pelt dressers, tanners and fellmongers",0.13,Very Low,Tinting or dyeing furs to enhance natural shades of fur;
7535,"Pelt dressers, tanners and fellmongers",0.1175,Very Low,Removing wrinkles and setting grains on wet hide or skin;
7535,"Pelt dressers, tanners and fellmongers",0.15,Very Low,Dressing and applying dyes and stains to leather;
7535,"Pelt dressers, tanners and fellmongers",0.1,Very Low,Stretching and smoothing dressed pelts;
7535,"Pelt dressers, tanners and fellmongers",0.135,Very Low,Seasoning leather by applying chemical solution or oil evenly on surface by hand brush and allowing it to dry in open air.
7536,Shoemakers and related workers,0.1475,Very Low,"Making, modifying and repairing standard footwear to meet individual requirements;"
7536,Shoemakers and related workers,0.1475,Very Low,"Making, modifying and repairing orthopaedic or therapeutic footwear according to doctors' prescriptions, or modifying existing footwear for people with foot problems and special needs;"
7536,Shoemakers and related workers,0.12,Very Low,"Repairing belts, luggage, purses and similar products;"
7536,Shoemakers and related workers,0.145,Very Low,Taking plaster casts of deformed legs or feet to prepare drawings;
7536,Shoemakers and related workers,0.1425,Very Low,"Preparing inserts, heel pads and lifts from casts of customers' feet;"
7536,Shoemakers and related workers,0.315,Low,Studying drawings and other specifications to make footwear according to customer’s needs;
7536,Shoemakers and related workers,0.23,Very Low,"Studying work orders and/or shoe part tags to obtain information about workloads, specifications and the types of materials to be used;"
7536,Shoemakers and related workers,0.2625,Low,"Checking the texture, colour and strength of leather to ensure that it is adequate for a particular purpose;"
7536,Shoemakers and related workers,0.1225,Very Low,"Cutting out, shaping and padding parts for making leather articles;"
7536,Shoemakers and related workers,0.1125,Very Low,"Sewing rips or patching holes to repair articles, such as purses, belts, shoes and luggage;"
7536,Shoemakers and related workers,0.165,Very Low,"Removing and examining shoes, shoe parts and designs to verify conformance to specifications such as proper embedding of stitches in channels;"
7536,Shoemakers and related workers,0.1675,Very Low,Attaching accessories or ornamentation to decorate or protect products;
7536,Shoemakers and related workers,0.12,Very Low,"Making and repairing articles such as saddles and harnesses for animals, luggage, handbags, brief-cases, leather bags, belts and other accessories."
7541,Underwater divers,0.189,Very Low,"Taking safety precautions, such as monitoring dive lengths and depths, and registering with authorities before diving expeditions begin;"
7541,Underwater divers,0.1475,Very Low,"Checking and maintaining diving equipment such as helmets, masks, air tanks, diving suits, harnesses and gauges;"
7541,Underwater divers,0.095,Very Low,"Descending into water with the aid of diver helpers, using scuba gear or diving suits;"
7541,Underwater divers,0.1225,Very Low,"Working under water to lay and repair bridges, piers and harbour-wall foundations;"
7541,Underwater divers,0.1025,Very Low,Inspecting for suspected damage and making minor repairs to ships' hulls and underwater installations;
7541,Underwater divers,0.27,Low,Reporting on condition of wrecked ships;
7541,Underwater divers,0.075,Very Low,Removing underwater obstructions;
7541,Underwater divers,0.1125,Very Low,Drilling holes for underwater blasting;
7541,Underwater divers,0.1,Very Low,Performing various underwater tasks connected with salvage work or recovering dead bodies;
7541,Underwater divers,0.07,Very Low,"Gathering shellfish, sponges and other aquatic life forms"
7541,Underwater divers,0.2325,Very Low,"Communicating with workers on the surface while under water, using signal lines or telephones;"
